lock_id,portfolio_group,model_id,route_id,domain_id,horizon,p5_candidate_role,enter_p5_test_once_main,evidence_source_stage,source_summary_manifest,source_validation_metrics_csv,source_formal_run_id,source_seed,validation_metric_scope,validation_wape,selected_config_or_variant,selected_feature_policy,adaptation_kind,uses_lightgbm_equivalent_features,full_train_or_refit_required_for_p5,p5_train_sample_policy,p5_test_subset_manifest,p5_test_split,test_access_allowed_now,test_once_required_after_lock,uses_cuda,uses_lightgbm,lightgbm_n_jobs_single_run,lightgbm_global_concurrent_n_jobs_budget,python_env,p5_epochs,p5_batch_size,p5_eval_batch_size,parameter_count_total,parameter_count_trainable,source_test_predictions_generated,p5_command_template,boundary,p5_lora_rank,p5_lora_alpha,p5_lora_dropout,p5_learning_rate,p5_run_id,p5_adapter_bottleneck,p5_adapter_dropout,p5_weight_decay,p5_gradient_clip,chronos2_train4096_validation_policy,chronos2_train4096_reference_mean_wape,chronos2_train4096_reference_best_wape,chronos2_train4096_reference_seed,chronos2_train4096_application_decision,chronos2_train4096_application_source
p3_4by_itransformer_aidc_power_optional_24h,non_tsfm,itransformer,itransformer,aidc_power_optional,24h,strong_baseline,True,p3_4j_validation_shortlist,config/routes/itransformer_aidc_power_optional_24h.json,,p3_4_formal_tuned_validation_itransformer_aidc_power_optional_24h_trials1_seed20260612,20260612.0,full_day,0.1368722351768889,p3_4j_locked,model_native,supervised_full_train_refit,False,True,full_train_refit_before_test_once,data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json,test,False,True,True,False,,,python,,,,169874528.0,,False,python scripts/run_p5_main_test_once.py --model itransformer --domain aidc_power_optional --horizon 24h --config-source config/routes/itransformer_aidc_power_optional_24h.json --subset-manifest data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json --split test --full-train-refit --run-id p5_itransformer_aidc_power_optional_24h_codex_locked --device cuda,P5-pre executable lock only; no test access and no P5 metric claim.,,,,,,,,,,,,,,,
p3_4by_itransformer_aidc_power_optional_4h,non_tsfm,itransformer,itransformer,aidc_power_optional,4h,strong_baseline,True,p3_4j_validation_shortlist,config/routes/itransformer_aidc_power_optional_4h.json,,p3_4_formal_tuned_validation_itransformer_aidc_power_optional_4h_trials1_seed20260611,20260611.0,full_day,0.0870253587187403,p3_4j_locked,model_native,supervised_full_train_refit,False,True,full_train_refit_before_test_once,data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json,test,False,True,True,False,,,python,,,,90528016.0,,False,python scripts/run_p5_main_test_once.py --model itransformer --domain aidc_power_optional --horizon 4h --config-source config/routes/itransformer_aidc_power_optional_4h.json --subset-manifest data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json --split test --full-train-refit --run-id p5_itransformer_aidc_power_optional_4h_codex_locked --device cuda,P5-pre executable lock only; no test access and no P5 metric claim.,,,,,,,,,,,,,,,
p3_4by_itransformer_aluminum_load_24h,non_tsfm,itransformer,itransformer,aluminum_load,24h,strong_baseline,True,p3_4bc_full_validation_confirmation,config/routes/itransformer_aluminum_load_24h.json,,p3_4_formal_tuned_validation_itransformer_aluminum_load_24h_trials1_seed20260614,20260614.0,full_day,0.0007533748410084,p3_4bc_confirmed,model_native,supervised_full_train_refit,False,True,full_train_refit_before_test_once,data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json,test,False,True,True,False,,,python,,,,362528352.0,,False,python scripts/run_p5_main_test_once.py --model itransformer --domain aluminum_load --horizon 24h --config-source config/routes/itransformer_aluminum_load_24h.json --subset-manifest data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json --split test --full-train-refit --run-id p5_itransformer_aluminum_load_24h_codex_locked --device cuda,P5-pre executable lock only; no test access and no P5 metric claim.,,,,,,,,,,,,,,,
p3_4by_itransformer_aluminum_load_4h,non_tsfm,itransformer,itransformer,aluminum_load,4h,strong_baseline,True,p3_4j_validation_shortlist,config/routes/itransformer_aluminum_load_4h.json,,p3_4_formal_tuned_validation_itransformer_aluminum_load_4h_trials1_seed20260525,20260525.0,full_day,0.0006160907666706,p3_4j_locked,model_native,supervised_full_train_refit,False,True,full_train_refit_before_test_once,data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json,test,False,True,True,False,,,python,,,,34909200.0,,False,python scripts/run_p5_main_test_once.py --model itransformer --domain aluminum_load --horizon 4h --config-source config/routes/itransformer_aluminum_load_4h.json --subset-manifest data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json --split test --full-train-refit --run-id p5_itransformer_aluminum_load_4h_codex_locked --device cuda,P5-pre executable lock only; no test access and no P5 metric claim.,,,,,,,,,,,,,,,
p3_4by_itransformer_arena_pv_24h,non_tsfm,itransformer,itransformer,arena_pv,24h,strong_baseline,True,p3_4j_validation_shortlist,config/routes/itransformer_arena_pv_24h.json,,p3_4_formal_tuned_validation_itransformer_arena_pv_24h_trials1_seed20260616,20260616.0,full_day,0.6073163816916445,p3_4j_locked,model_native,supervised_full_train_refit,False,True,full_train_refit_before_test_once,data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json,test,False,True,True,False,,,python,,,,221663072.0,,False,python scripts/run_p5_main_test_once.py --model itransformer --domain arena_pv --horizon 24h --config-source config/routes/itransformer_arena_pv_24h.json --subset-manifest data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json --split test --full-train-refit --run-id p5_itransformer_arena_pv_24h_codex_locked --device cuda,P5-pre executable lock only; no test access and no P5 metric claim.,,,,,,,,,,,,,,,
p3_4by_itransformer_arena_pv_4h,non_tsfm,itransformer,itransformer,arena_pv,4h,strong_baseline,True,p3_4j_validation_shortlist,config/routes/itransformer_arena_pv_4h.json,,p3_4_formal_tuned_validation_itransformer_arena_pv_4h_trials1_seed20260615,20260615.0,full_day,0.4169430648808809,p3_4j_locked,model_native,supervised_full_train_refit,False,True,full_train_refit_before_test_once,data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json,test,False,True,True,False,,,python,,,,169219088.0,,False,python scripts/run_p5_main_test_once.py --model itransformer --domain arena_pv --horizon 4h --config-source config/routes/itransformer_arena_pv_4h.json --subset-manifest data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json --split test --full-train-refit --run-id p5_itransformer_arena_pv_4h_codex_locked --device cuda,P5-pre executable lock only; no test access and no P5 metric claim.,,,,,,,,,,,,,,,
p3_4by_itransformer_microgrid_load_24h,non_tsfm,itransformer,itransformer,microgrid_load,24h,strong_baseline,True,p3_4bc_full_validation_confirmation,config/routes/itransformer_microgrid_load_24h.json,,p3_4_formal_tuned_validation_itransformer_microgrid_load_24h_trials1_seed20260618,20260618.0,full_day,0.1009551145467004,p3_4bc_confirmed,model_native,supervised_full_train_refit,False,True,full_train_refit_before_test_once,data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json,test,False,True,True,False,,,python,,,,166898832.0,,False,python scripts/run_p5_main_test_once.py --model itransformer --domain microgrid_load --horizon 24h --config-source config/routes/itransformer_microgrid_load_24h.json --subset-manifest data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json --split test --full-train-refit --run-id p5_itransformer_microgrid_load_24h_codex_locked --device cuda,P5-pre executable lock only; no test access and no P5 metric claim.,,,,,,,,,,,,,,,
p3_4by_itransformer_microgrid_load_4h,non_tsfm,itransformer,itransformer,microgrid_load,4h,strong_baseline,True,p3_4j_validation_shortlist,config/routes/itransformer_microgrid_load_4h.json,,p3_4_formal_tuned_validation_itransformer_microgrid_load_4h_trials1_seed20260617,20260617.0,full_day,0.0871199174010709,p3_4j_locked,model_native,supervised_full_train_refit,False,True,full_train_refit_before_test_once,data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json,test,False,True,True,False,,,python,,,,90614808.0,,False,python scripts/run_p5_main_test_once.py --model itransformer --domain microgrid_load --horizon 4h --config-source config/routes/itransformer_microgrid_load_4h.json --subset-manifest data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json --split test --full-train-refit --run-id p5_itransformer_microgrid_load_4h_codex_locked --device cuda,P5-pre executable lock only; no test access and no P5 metric claim.,,,,,,,,,,,,,,,
p3_4by_itransformer_provincial_load_24h,non_tsfm,itransformer,itransformer,provincial_load,24h,strong_baseline,True,p3_4j_validation_shortlist,config/routes/itransformer_provincial_load_24h.json,,p3_4_formal_tuned_validation_itransformer_provincial_load_24h_trials1_seed20260620,20260620.0,full_day,0.0292015527509169,p3_4j_locked,model_native,supervised_full_train_refit,False,True,full_train_refit_before_test_once,data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json,test,False,True,True,False,,,python,,,,166569312.0,,False,python scripts/run_p5_main_test_once.py --model itransformer --domain provincial_load --horizon 24h --config-source config/routes/itransformer_provincial_load_24h.json --subset-manifest data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json --split test --full-train-refit --run-id p5_itransformer_provincial_load_24h_codex_locked --device cuda,P5-pre executable lock only; no test access and no P5 metric claim.,,,,,,,,,,,,,,,
p3_4by_itransformer_provincial_load_4h,non_tsfm,itransformer,itransformer,provincial_load,4h,strong_baseline,True,p3_4j_validation_shortlist,config/routes/itransformer_provincial_load_4h.json,,p3_4_formal_tuned_validation_itransformer_provincial_load_4h_trials1_seed20260619,20260619.0,full_day,0.0182763310728341,p3_4j_locked,model_native,supervised_full_train_refit,False,True,full_train_refit_before_test_once,data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json,test,False,True,True,False,,,python,,,,110980880.0,,False,python scripts/run_p5_main_test_once.py --model itransformer --domain provincial_load --horizon 4h --config-source config/routes/itransformer_provincial_load_4h.json --subset-manifest data/energy_tsfm_formal_windows/p3_target_pure_v0_codex_20260514/subset_manifest.json --split test --full-train-refit --run-id p5_itransformer_provincial_load_4h_codex_locked --device cuda,P5-pre executable lock only; no test access and no P5 metric claim.,,,,,,,,,,,,,,,
